DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,Id,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,Year,YearText,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToContainBreach,DaysToIdentifyBreach,DaysBreachLifecycle,DiscoveredInProgress,DaysOfExposure,DaysElapsedBetweenEndAndDiscovery,EndedOnDayDiscovered,DaysElapsedBeforeNotification,DaysOfExposureRange
03/20/2019 12:00:00 AM,06/03/2019 12:00:00 AM,Cyberattack,08/01/2018 12:00:00 AM,03/30/2019 12:00:00 AM,Retrieval Masters Creditors Bureau Inc.,10636,,33480,Business,Professional Services,2019,2019,"10,000-49,999",200-299,10,231,241,true,241,,false,75,200-299
04/26/2019 12:00:00 AM,06/03/2019 12:00:00 AM,Theft or Mistake,,,Washington Department of Health,10637,,1336,Government,,2019,2019,"1,000-9,999",Unknown,,,,false,,,false,38,Unknown
05/21/2019 12:00:00 AM,06/06/2019 12:00:00 AM,Unauthorized Access,,04/03/2019 12:00:00 AM,Acrisure LLC,10638,,1295,Business,Human Resources,2019,2019,"1,000-9,999",Unknown,0,,,false,,48,false,16,Unknown
04/24/2019 12:00:00 AM,06/07/2019 12:00:00 AM,Cyberattack,11/01/2018 12:00:00 AM,04/29/2019 12:00:00 AM,Princess Polly Group Pty Ltd,10639,,2290,Business,Clothing,2019,2019,"1,000-9,999",100-199,5,174,179,true,179,,false,44,100-199
05/02/2019 12:00:00 AM,06/07/2019 12:00:00 AM,Cyberattack,09/27/2016 12:00:00 AM,03/16/2019 12:00:00 AM,Darwin's Natural Pet Products,10640,,1787,Business,Consumable,2019,2019,"1,000-9,999",500+,0,947,947,false,900,47,false,36,500+
04/24/2019 12:00:00 AM,06/21/2019 12:00:00 AM,Cyberattack,08/25/2010 12:00:00 AM,,Dominion Dental Services Inc.,10641,,34455,Health,,2019,2019,"10,000-49,999",Unknown,,3164,,false,,,false,58,Unknown
06/03/2019 12:00:00 AM,07/02/2019 12:00:00 AM,Cyberattack,,,Backcountry Edge,10642,,566,Business,Retail,2019,2019,500-999,Unknown,,,,false,,,false,29,Unknown
06/24/2019 12:00:00 AM,07/03/2019 12:00:00 AM,Cyberattack,06/14/2019 12:00:00 AM,06/17/2019 12:00:00 AM,Riggs Wealth Management,10643,Phishing,1205,Finance,,2019,2019,"1,000-9,999",1-99,0,10,10,false,3,7,false,9,1-99
05/14/2019 12:00:00 AM,07/13/2019 12:00:00 AM,Cyberattack,08/01/2018 12:00:00 AM,03/30/2019 12:00:00 AM,Laboratory Corporation of America Holdings (LabCorp),10645,,18330,Health,,2019,2019,"10,000-49,999",200-299,0,286,286,false,241,45,false,60,200-299
05/06/2019 12:00:00 AM,07/15/2019 12:00:00 AM,Cyberattack,05/03/2019 12:00:00 AM,05/06/2019 12:00:00 AM,Northwood Inc.,10646,Phishing,1185,Health,,2019,2019,"1,000-9,999",1-99,0,3,3,true,3,,true,70,1-99
05/15/2019 12:00:00 AM,07/15/2019 12:00:00 AM,Cyberattack,03/21/2019 12:00:00 AM,,"Clinical Pathology Laboratories, Inc.",10647,Malware,1155,Health,,2019,2019,"1,000-9,999",Unknown,,55,,false,,,false,61,Unknown
05/22/2018 12:00:00 AM,07/13/2018 12:00:00 AM,Cyberattack,04/20/2018 12:00:00 AM,05/22/2018 12:00:00 AM,"ComplyRight, Inc.",10648,,29322,Business,Human Resources,2018,2018,"10,000-49,999",1-99,0,32,32,true,32,,true,52,1-99
08/28/2019 12:00:00 AM,09/09/2019 12:00:00 AM,Cyberattack,04/01/2019 12:00:00 AM,,The Union Labor Life Insurance Company,10656,Phishing,615,Finance,Other,2020,2020,500-999,Unknown,,149,,false,,,false,12,Unknown
08/07/2020 12:00:00 AM,10/02/2020 12:00:00 AM,Cyberattack,02/26/2020 12:00:00 AM,07/21/2020 12:00:00 AM,PupBox,10682,Malware,1046,Business,Retail,2021,2021,"1,000-9,999",100-199,0,163,163,false,146,17,false,56,100-199
08/05/2021 12:00:00 AM,09/30/2021 12:00:00 AM,Unauthorized Access,07/26/2021 12:00:00 AM,07/28/2021 12:00:00 AM,LPL Financial LLC,11099,,992,Finance,,2022,2022,500-999,1-99,0,10,10,false,2,8,false,56,1-99
06/14/2021 12:00:00 AM,07/14/2021 12:00:00 AM,Cyberattack,02/22/2021 12:00:00 AM,06/14/2021 12:00:00 AM,"Resort Data Processing, Inc.",10696,Malware,1669,Business,Software,2021,2021,"1,000-9,999",100-199,0,112,112,true,112,,true,30,100-199
02/17/2021 12:00:00 AM,05/28/2021 12:00:00 AM,Cyberattack,02/10/2021 12:00:00 AM,,Osborn Cancer Care,10703,Malware,4305,Health,,2021,2021,"1,000-9,999",Unknown,,7,,false,,,false,100,Unknown
11/30/2020 12:00:00 AM,06/22/2021 12:00:00 AM,Unauthorized Access,09/01/2020 12:00:00 AM,02/28/2021 12:00:00 AM,Made In Oregon,10725,,840,Business,Retail,2021,2021,500-999,100-199,90,90,180,true,180,,false,204,100-199
06/01/2021 12:00:00 AM,07/30/2021 12:00:00 AM,Cyberattack,,,Mandere Construction / Northwestern Building Components,10788,Ransomware,781,Business,Construction,2022,2022,500-999,Unknown,,,,false,,,false,59,Unknown
07/06/2021 12:00:00 AM,08/04/2021 12:00:00 AM,Unauthorized Access,02/19/2021 12:00:00 AM,03/31/2021 12:00:00 AM,Renton Regional Fire Authority,10793,Phishing,1334,Government,,2022,2022,"1,000-9,999",100-199,0,137,137,false,40,97,false,29,1-99
07/12/2021 12:00:00 AM,08/17/2021 12:00:00 AM,Theft or Mistake,,,"BackNine Insurance and Financial Services, Inc.",10807,,866,Finance,,2022,2022,500-999,Unknown,,,,false,,,false,36,Unknown
06/04/2021 12:00:00 AM,07/08/2021 12:00:00 AM,Unauthorized Access,05/28/2021 12:00:00 AM,06/04/2021 12:00:00 AM,"Forefront Management, LLC and Forefront Dermatology, S.C.",10808,,877,Health,,2021,2021,500-999,1-99,0,7,7,true,7,,true,34,1-99
04/26/2021 12:00:00 AM,07/13/2021 12:00:00 AM,Cyberattack,,,King County Public Health Hospital District No. 2 Dba Evergreen Health,10813,Malware,20215,Health,,2021,2021,"10,000-49,999",Unknown,,,,false,,,false,78,Unknown
05/17/2021 12:00:00 AM,07/12/2021 12:00:00 AM,Cyberattack,05/12/2021 12:00:00 AM,05/26/2021 12:00:00 AM,Clover Park School District,10691,Ransomware,5872,Education,,2021,2021,"1,000-9,999",1-99,9,5,14,true,14,,false,56,1-99
03/20/2021 12:00:00 AM,08/13/2021 12:00:00 AM,Cyberattack,03/16/2021 12:00:00 AM,04/13/2021 12:00:00 AM,Destination Maternity,10843,Ransomware,2237,Business,Retail,2022,2022,"1,000-9,999",1-99,24,4,28,true,28,,false,146,1-99
06/11/2021 12:00:00 AM,08/23/2021 12:00:00 AM,Cyberattack,11/24/2020 12:00:00 AM,12/09/2020 12:00:00 AM,"American Freight, LLC ",10846,Malware,876,Business,Retail,2022,2022,500-999,100-199,0,199,199,false,15,184,false,73,1-99
12/18/2020 12:00:00 AM,08/24/2021 12:00:00 AM,Cyberattack,,,"SmartStart Employment Screening, Inc.",10863,Malware,639,Business,Other,2022,2022,500-999,Unknown,,,,false,,,false,249,Unknown
06/29/2021 12:00:00 AM,08/27/2021 12:00:00 AM,Cyberattack,06/18/2021 12:00:00 AM,06/29/2021 12:00:00 AM,"CareATC, Inc.",10864,Phishing,600,Health,,2022,2022,500-999,1-99,0,11,11,true,11,,true,59,1-99
08/17/2020 12:00:00 AM,12/01/2020 12:00:00 AM,Unauthorized Access,05/19/2020 12:00:00 AM,08/17/2020 12:00:00 AM,Kitsap County Credit Union,10913,,3268,Finance,,2021,2021,"1,000-9,999",1-99,0,90,90,true,90,,true,106,1-99
