DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,Id,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,Year,YearText,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToContainBreach,DaysToIdentifyBreach,DaysBreachLifecycle,DiscoveredInProgress,DaysOfExposure,DaysElapsedBetweenEndAndDiscovery,EndedOnDayDiscovered,DaysElapsedBeforeNotification,DaysOfExposureRange
12/24/2020 12:00:00 AM,11/10/2021 12:00:00 AM,Cyberattack,12/24/2020 12:00:00 AM,02/15/2021 12:00:00 AM,Christensen O’Connor Johnson Kindness PLLC,11233,Malware,815,Business,Legal,2022,2022,500-999,1-99,53,0,53,true,53,,false,321,1-99
06/22/2021 12:00:00 AM,11/11/2021 12:00:00 AM,Unauthorized Access,02/18/2021 12:00:00 AM,06/29/2021 12:00:00 AM,Opportunity Council,11234,,664,Non-Profit/Charity,,2022,2022,500-999,100-199,7,124,131,true,131,,false,142,100-199
11/24/2020 12:00:00 AM,10/20/2021 12:00:00 AM,Cyberattack,,,Abeo Solutions Inc. d/b/a Crystal Practice Management,11235,Ransomware,6141,Health,,2022,2022,"1,000-9,999",Unknown,,,,false,,,false,330,Unknown
07/02/2021 12:00:00 AM,10/20/2021 12:00:00 AM,Theft or Mistake,08/17/2020 12:00:00 AM,07/02/2021 12:00:00 AM,"J.B. Hunt Transport, Inc.",11236,,3798,Business,Transportation,2022,2022,"1,000-9,999",300-399,0,319,319,true,319,,true,110,300-399
08/08/2021 12:00:00 AM,10/27/2021 12:00:00 AM,Cyberattack,,,Primary Residential Mortgage,11237,Malware,1712,Finance,,2022,2022,"1,000-9,999",Unknown,,,,false,,,false,80,Unknown
10/09/2021 12:00:00 AM,11/22/2021 12:00:00 AM,Cyberattack,10/09/2021 12:00:00 AM,10/15/2021 12:00:00 AM,Boeing Employees Credit Union,11238,Skimmers,657,Finance,,2022,2022,500-999,1-99,6,0,6,true,6,,false,44,1-99
10/22/2021 12:00:00 AM,11/16/2021 12:00:00 AM,Cyberattack,09/26/2020 12:00:00 AM,10/27/2021 12:00:00 AM,"Diode Dynamics, L.L.C.",11256,Skimmers,1462,Business,Retail,2022,2022,"1,000-9,999",300-399,5,391,396,true,396,,false,25,300-399
09/04/2021 12:00:00 AM,11/18/2021 12:00:00 AM,Cyberattack,08/29/2021 12:00:00 AM,09/04/2021 12:00:00 AM,"Utah Imaging Associates, Inc.",11257,Ransomware,895,Health,,2022,2022,500-999,1-99,0,6,6,true,6,,true,75,1-99
04/19/2021 12:00:00 AM,11/22/2021 12:00:00 AM,Cyberattack,04/19/2021 12:00:00 AM,04/20/2021 12:00:00 AM,One Community Health,11259,Ransomware,7945,Health,,2022,2022,"1,000-9,999",1-99,1,0,1,true,1,,false,217,1-99
02/08/2021 12:00:00 AM,11/22/2021 12:00:00 AM,Cyberattack,01/19/2021 12:00:00 AM,01/29/2021 12:00:00 AM,Astoria Company LLC,11260,Other,22095,Business,Web Services,2022,2022,"10,000-49,999",1-99,0,20,20,false,10,10,false,287,1-99
08/06/2021 12:00:00 AM,11/29/2021 12:00:00 AM,Cyberattack,05/24/2021 12:00:00 AM,07/28/2021 12:00:00 AM,"DNA Diagnostics Center, Inc.",11269,Ransomware,4278,Business,Other,2022,2022,"1,000-9,999",1-99,0,74,74,false,65,9,false,115,1-99
09/07/2021 12:00:00 AM,11/30/2021 12:00:00 AM,Cyberattack,08/08/2021 12:00:00 AM,08/08/2021 12:00:00 AM,"Cedar Grove Composting, Inc.",11271,Ransomware,1596,Business,Other,2022,2022,"1,000-9,999",1-99,0,30,30,false,0,30,false,84,0
11/03/2021 12:00:00 AM,12/01/2021 12:00:00 AM,Cyberattack,09/19/2021 12:00:00 AM,09/22/2021 12:00:00 AM,"HealthCare, Inc. ",11272,Unclear/unknown,625,Health,,2022,2022,500-999,1-99,0,45,45,false,3,42,false,28,1-99
06/10/2021 12:00:00 AM,12/03/2021 12:00:00 AM,Cyberattack,05/25/2021 12:00:00 AM,06/10/2021 12:00:00 AM,American Council for International Studies ,11273,Malware,3712,Business,Other,2022,2022,"1,000-9,999",1-99,0,16,16,true,16,,true,176,1-99
07/16/2021 12:00:00 AM,12/09/2021 12:00:00 AM,Cyberattack,07/13/2021 12:00:00 AM,07/16/2021 12:00:00 AM,"Mor Furniture for Less, Inc.",11274,Ransomware,731,Business,Other,2022,2022,500-999,1-99,0,3,3,true,3,,true,146,1-99
11/11/2021 12:00:00 AM,12/10/2021 12:00:00 AM,Unauthorized Access,10/25/2021 12:00:00 AM,11/11/2021 12:00:00 AM,"BioPlus Specialty Pharmacy Services, LLC",11275,,13357,Health,,2022,2022,"10,000-49,999",1-99,0,17,17,true,17,,true,29,1-99
11/17/2021 12:00:00 AM,11/23/2021 12:00:00 AM,Cyberattack,09/06/2021 12:00:00 AM,,"GoDaddy.com, LLC",11279,Malware,9581,Business,Web Services,2022,2022,"1,000-9,999",Unknown,,72,,false,,,false,6,Unknown
08/27/2021 12:00:00 AM,11/30/2021 12:00:00 AM,Cyberattack,08/25/2021 12:00:00 AM,08/27/2021 12:00:00 AM,Seneca Family of Agencies,11281,Malware,1313,Health,,2022,2022,"1,000-9,999",1-99,0,2,2,true,2,,true,95,1-99
09/28/2021 12:00:00 AM,12/06/2021 12:00:00 AM,Cyberattack,09/28/2021 12:00:00 AM,,"Pawn America Minnesota, LLC",11282,Ransomware,748,Business,Retail,2022,2022,500-999,Unknown,,0,,false,,,false,69,Unknown
11/12/2021 12:00:00 AM,12/16/2021 12:00:00 AM,Cyberattack,11/11/2021 12:00:00 AM,11/12/2021 12:00:00 AM,"Cirrus Asset Management, Inc.",11285,Ransomware,568,Business,Other,2022,2022,500-999,1-99,0,1,1,true,1,,true,34,1-99
08/12/2021 12:00:00 AM,12/17/2021 12:00:00 AM,Cyberattack,02/12/2021 12:00:00 AM,10/26/2021 12:00:00 AM,Heirloom Roses,11299,Malware,3118,Business,Retail,2022,2022,"1,000-9,999",200-299,75,181,256,true,256,,false,127,200-299
11/19/2021 12:00:00 AM,01/07/2022 12:00:00 AM,Cyberattack,11/13/2021 12:00:00 AM,,"BearTooth Mapping, Inc.",11303,Malware,4774,Business,Software,2022,2022,"1,000-9,999",Unknown,,6,,false,,,false,49,Unknown
10/10/2021 12:00:00 AM,12/30/2021 12:00:00 AM,Cyberattack,11/01/2019 12:00:00 AM,08/31/2021 12:00:00 AM,Penn LLC d/b/a PulseTV,11304,Malware,3603,Business,Retail,2022,2022,"1,000-9,999",500+,0,709,709,false,669,40,false,81,500+
11/16/2021 12:00:00 AM,12/20/2021 12:00:00 AM,Cyberattack,08/17/2021 12:00:00 AM,10/11/2021 12:00:00 AM,"J.C. Penney Corporation, Inc. Pension Plan",11305,Ransomware,1147,Business,Retail,2022,2022,"1,000-9,999",1-99,0,91,91,false,55,36,false,34,1-99
11/01/2021 12:00:00 AM,12/22/2021 12:00:00 AM,Cyberattack,04/01/2021 12:00:00 AM,11/01/2021 12:00:00 AM,Pro Wrestling Tees,11306,Malware,581,Business,Clothing,2022,2022,500-999,200-299,0,214,214,true,214,,true,51,200-299
12/12/2021 12:00:00 AM,12/30/2021 12:00:00 AM,Cyberattack,12/07/2021 12:00:00 AM,12/12/2021 12:00:00 AM,"McMenamins, Inc.",11321,Ransomware,4693,Business,Hospitality,2022,2022,"1,000-9,999",1-99,0,5,5,true,5,,true,18,1-99
10/19/2021 12:00:00 AM,01/02/2022 12:00:00 AM,Cyberattack,10/15/2021 12:00:00 AM,10/19/2021 12:00:00 AM,North Broward Hospital District d/b/a Broward Health,11322,Malware,1168,Health,,2022,2022,"1,000-9,999",1-99,0,4,4,true,4,,true,75,1-99
09/27/2021 12:00:00 AM,01/03/2022 12:00:00 AM,Cyberattack,,09/27/2021 12:00:00 AM,Ravkoo,11323,Other,5729,Health,,2022,2022,"1,000-9,999",Unknown,0,,,true,,,true,98,Unknown
11/09/2021 12:00:00 AM,01/07/2022 12:00:00 AM,Cyberattack,11/02/2021 12:00:00 AM,11/09/2021 12:00:00 AM,Medical Review Institute of America,11331,Malware,3230,Health,,2022,2022,"1,000-9,999",1-99,0,7,7,true,7,,true,59,1-99
12/21/2021 12:00:00 AM,01/19/2022 12:00:00 AM,Cyberattack,,12/21/2021 12:00:00 AM,Spokane Regional Health District,11332,Phishing,1058,Government,,2022,2022,"1,000-9,999",Unknown,0,,,true,,,true,29,Unknown
12/21/2021 12:00:00 AM,01/19/2022 12:00:00 AM,Cyberattack,02/02/2021 12:00:00 AM,03/22/2021 12:00:00 AM,"LendUS, LLC",11336,Phishing,696,Finance,,2022,2022,500-999,300-399,0,322,322,false,48,274,false,29,1-99
12/30/2021 12:00:00 AM,01/21/2022 12:00:00 AM,Theft or Mistake,12/27/2021 12:00:00 AM,,Boeing Employees' Credit Union,11337,,2187,Finance,,2022,2022,"1,000-9,999",Unknown,,3,,false,,,false,22,Unknown
12/07/2021 12:00:00 AM,01/21/2022 12:00:00 AM,Cyberattack,03/26/2020 12:00:00 AM,04/07/2021 12:00:00 AM,"Nuna Baby Essentials, Inc. ",11374,Other,816,Business,Retail,2022,2022,500-999,500+,0,621,621,false,377,244,false,45,300-399
10/28/2021 12:00:00 AM,12/09/2021 12:00:00 AM,Cyberattack,10/24/2021 12:00:00 AM,11/24/2021 12:00:00 AM,Title Guaranty Company of Lewis County,11392,Ransomware,1109,Business,Other,2022,2022,"1,000-9,999",1-99,27,4,31,true,31,,false,42,1-99
12/14/2021 12:00:00 AM,01/25/2022 12:00:00 AM,Cyberattack,12/09/2021 12:00:00 AM,12/10/2021 12:00:00 AM,Aditi Consulting,11393,Other,918,Business,Professional Services,2022,2022,500-999,1-99,0,5,5,false,1,4,false,42,1-99
08/16/2021 12:00:00 AM,01/28/2022 12:00:00 AM,Cyberattack,08/16/2021 12:00:00 AM,08/17/2021 12:00:00 AM,Accutech Systems Corporation,11394,Ransomware,1376,Business,Software,2022,2022,"1,000-9,999",1-99,1,0,1,true,1,,false,165,1-99
07/01/2021 12:00:00 AM,12/14/2021 12:00:00 AM,Cyberattack,06/25/2021 12:00:00 AM,08/10/2021 12:00:00 AM,"Cities Digital, Inc.",11422,Malware,3000,Business,Professional Services,2022,2022,"1,000-9,999",1-99,40,6,46,true,46,,false,166,1-99
11/18/2021 12:00:00 AM,12/29/2021 12:00:00 AM,Cyberattack,10/27/2021 12:00:00 AM,10/30/2021 12:00:00 AM,"Innovations Group, Inc.",11423,Malware,772,Health,,2022,2022,500-999,1-99,0,22,22,false,3,19,false,41,1-99
11/18/2021 12:00:00 AM,01/28/2022 12:00:00 AM,Cyberattack,11/22/2021 12:00:00 AM,11/22/2021 12:00:00 AM,Keller Supply Company,11424,Ransomware,2486,Business,Retail,2022,2022,"1,000-9,999",0,4,-4,0,true,0,,false,71,0
09/08/2020 12:00:00 AM,01/29/2022 12:00:00 AM,Cyberattack,09/03/2020 12:00:00 AM,09/08/2020 12:00:00 AM,Fairmount Memorial Association,11425,Ransomware,6909,Business,Other,2022,2022,"1,000-9,999",1-99,0,5,5,true,5,,true,508,1-99
11/23/2021 12:00:00 AM,01/31/2022 12:00:00 AM,Unauthorized Access,10/28/2021 12:00:00 AM,11/15/2021 12:00:00 AM,"Unum Group (""Unum"")",11427,,1610,Business,Other,2022,2022,"1,000-9,999",1-99,0,26,26,false,18,8,false,69,1-99
09/16/2021 12:00:00 AM,01/31/2022 12:00:00 AM,Theft or Mistake,,,American Marriage Ministries,11428,,16727,Non-Profit/Charity,,2022,2022,"10,000-49,999",Unknown,,,,false,,,false,137,Unknown
07/02/2021 12:00:00 AM,08/09/2021 12:00:00 AM,Cyberattack,,,"Spreadshirt, Inc.",11029,Ransomware,911,Business,Clothing,2022,2022,500-999,Unknown,,,,false,,,false,38,Unknown
